index,stock
NIFTY 500,LODHA.NS
NIFTY 500,MGL.NS
NIFTY 500,MAHSEAMLES.NS
NIFTY 500,M&MFIN.NS
NIFTY 500,M&M.NS
NIFTY 500,MANAPPURAM.NS
NIFTY 500,MRPL.NS
NIFTY 500,MANKIND.NS
NIFTY 500,MARICO.NS
NIFTY 500,MARUTI.NS
NIFTY 500,MASTEK.NS
NIFTY 500,MFSL.NS
NIFTY 500,MAXHEALTH.NS
NIFTY 500,MAZDOCK.NS
NIFTY 500,METROPOLIS.NS
NIFTY 500,MINDACORP.NS
NIFTY 500,MSUMI.NS
NIFTY 500,MOTILALOFS.NS
NIFTY 500,MPHASIS.NS
NIFTY 500,MCX.NS
NIFTY 500,MUTHOOTFIN.NS
NIFTY 500,NATCOPHARM.NS
NIFTY 500,NBCC.NS
NIFTY 500,NCC.NS
NIFTY 500,NHPC.NS
NIFTY 500,NLCINDIA.NS
NIFTY 500,NMDC.NS
NIFTY 500,NSLNISP.NS
NIFTY 500,NTPCGREEN.NS
NIFTY 500,NTPC.NS
NIFTY 500,NH.NS
NIFTY 500,NATIONALUM.NS
NIFTY 500,NAVA.NS
NIFTY 500,NAVINFLUOR.NS
NIFTY 500,NESTLEIND.NS
NIFTY 500,NETWEB.NS
NIFTY 500,NETWORK18.NS
NIFTY 500,NEULANDLAB.NS
NIFTY 500,NEWGEN.NS
NIFTY 500,NAM-INDIA.NS
NIFTY 500,NIVABUPA.NS
NIFTY 500,NUVAMA.NS
NIFTY 500,OBEROIRLTY.NS
NIFTY 500,ONGC.NS
NIFTY 500,OIL.NS
NIFTY 500,OLAELEC.NS
NIFTY 500,OLECTRA.NS
NIFTY 500,PAYTM.NS
NIFTY 500,OFSS.NS
NIFTY 500,POLICYBZR.NS
NIFTY 500,PCBL.NS
NIFTY 500,PGEL.NS
NIFTY 500,PIIND.NS
NIFTY 500,PNBHOUSING.NS
NIFTY 500,PNCINFRA.NS
NIFTY 500,PTCIL.NS
NIFTY 500,PVRINOX.NS
NIFTY 500,PAGEIND.NS
NIFTY 500,PATANJALI.NS
NIFTY 500,PERSISTENT.NS
NIFTY 500,PETRONET.NS
NIFTY 500,PFIZER.NS
NIFTY 500,PHOENIXLTD.NS
NIFTY 500,PIDILITIND.NS
NIFTY 500,PEL.NS
NIFTY 500,PPLPHARMA.NS
NIFTY 500,POLYMED.NS
NIFTY 500,POLYCAB.NS
NIFTY 500,POONAWALLA.NS
NIFTY 500,PFC.NS
NIFTY 500,POWERGRID.NS
NIFTY 500,PRAJIND.NS
NIFTY 500,PREMIERENE.NS
NIFTY 500,PRESTIGE.NS
NIFTY 500,PNB.NS
NIFTY 500,RRKABEL.NS
NIFTY 500,RBLBANK.NS
NIFTY 500,RECLTD.NS
NIFTY 500,RHIM.NS
NIFTY 500,RITES.NS
NIFTY 500,RADICO.NS
NIFTY 500,RVNL.NS
NIFTY 500,RAILTEL.NS
NIFTY 500,RAINBOW.NS
NIFTY 500,RKFORGE.NS
NIFTY 500,RCF.NS
NIFTY 500,RTNINDIA.NS
NIFTY 500,RAYMONDLSL.NS
NIFTY 500,RAYMOND.NS
NIFTY 500,REDINGTON.NS
NIFTY 500,RELIANCE.NS
NIFTY 500,RPOWER.NS
NIFTY 500,ROUTE.NS
NIFTY 500,SBFC.NS
NIFTY 500,SBICARD.NS
NIFTY 500,SBILIFE.NS
NIFTY 500,SJVN.NS
NIFTY 500,SKFINDIA.NS
NIFTY 500,SRF.NS
NIFTY 500,SAGILITY.NS
NIFTY 500,SAILIFE.NS
NIFTY 500,SAMMAANCAP.NS
NIFTY 500,MOTHERSON.NS
NIFTY 500,SAPPHIRE.NS
NIFTY 500,SARDAEN.NS
NIFTY 500,SAREGAMA.NS
NIFTY 500,SCHAEFFLER.NS
NIFTY 500,SCHNEIDER.NS
NIFTY 500,SCI.NS
NIFTY 500,SHREECEM.NS
NIFTY 500,RENUKA.NS
NIFTY 500,SHRIRAMFIN.NS
NIFTY 500,SHYAMMETL.NS
NIFTY 500,ENRIN.NS
NIFTY 500,SIEMENS.NS
NIFTY 500,SIGNATURE.NS
NIFTY 500,SOBHA.NS
NIFTY 500,SOLARINDS.NS
NIFTY 500,SONACOMS.NS
NIFTY 500,SONATSOFTW.NS
NIFTY 500,STARHEALTH.NS
NIFTY 500,SBIN.NS
NIFTY 500,SAIL.NS
NIFTY 500,SWSOLAR.NS
NIFTY 500,SUMICHEM.NS
NIFTY 500,SUNPHARMA.NS
NIFTY 500,SUNTV.NS
NIFTY 500,SUNDARMFIN.NS
NIFTY 500,SUNDRMFAST.NS
NIFTY 500,SUPREMEIND.NS
NIFTY 500,SUZLON.NS
NIFTY 500,SWANENERGY.NS
NIFTY 500,SWIGGY.NS
NIFTY 500,SYNGENE.NS
NIFTY 500,SYRMA.NS
NIFTY 500,TBOTEK.NS
NIFTY 500,TVSMOTOR.NS
NIFTY 500,TANLA.NS
NIFTY 500,TATACHEM.NS
NIFTY 500,TATACOMM.NS
NIFTY 500,TCS.NS
NIFTY 500,TATACONSUM.NS
NIFTY 500,TATAELXSI.NS
NIFTY 500,TATAINVEST.NS
NIFTY 500,TATAMOTORS.NS
NIFTY 500,TATAPOWER.NS
NIFTY 500,TATASTEEL.NS
NIFTY 500,TATATECH.NS
NIFTY 500,TTML.NS
NIFTY 500,TECHM.NS
NIFTY 500,TECHNOE.NS
NIFTY 500,TEJASNET.NS
NIFTY 500,NIACL.NS
NIFTY 500,RAMCOCEM.NS
NIFTY 500,THERMAX.NS
NIFTY 500,TIMKEN.NS
NIFTY 500,TITAGARH.NS
NIFTY 500,TITAN.NS
NIFTY 500,TORNTPHARM.NS
NIFTY 500,TORNTPOWER.NS
NIFTY 500,TARIL.NS
NIFTY 500,TRENT.NS
NIFTY 500,TRIDENT.NS
NIFTY 500,TRIVENI.NS
NIFTY 500,TRITURBINE.NS
NIFTY 500,TIINDIA.NS
NIFTY 500,UCOBANK.NS
NIFTY 500,UNOMINDA.NS
NIFTY 500,UPL.NS
NIFTY 500,UTIAMC.NS
NIFTY 500,ULTRACEMCO.NS
NIFTY 500,UNIONBANK.NS
NIFTY 500,UBL.NS
NIFTY 500,UNITDSPR.NS
NIFTY 500,USHAMART.NS
NIFTY 500,VGUARD.NS
NIFTY 500,DBREALTY.NS
NIFTY 500,VTL.NS
NIFTY 500,VBL.NS
NIFTY 500,MANYAVAR.NS
NIFTY 500,VEDL.NS
NIFTY 500,VIJAYA.NS
NIFTY 500,VMM.NS
NIFTY 500,IDEA.NS
NIFTY 500,VOLTAS.NS
NIFTY 500,WAAREEENER.NS
NIFTY 500,WELCORP.NS
NIFTY 500,WELSPUNLIV.NS
NIFTY 500,WESTLIFE.NS
NIFTY 500,WHIRLPOOL.NS
NIFTY 500,WIPRO.NS
NIFTY 500,WOCKPHARMA.NS
NIFTY 500,YESBANK.NS
NIFTY 500,ZFCVINDIA.NS
NIFTY 500,ZEEL.NS
NIFTY 500,ZENTEC.NS
NIFTY 500,ZENSARTECH.NS
NIFTY 500,ZYDUSLIFE.NS
NIFTY 500,ECLERX.NS
NIFTY AUTO,ASHOKLEY.NS
NIFTY AUTO,BAJAJ-AUTO.NS
NIFTY AUTO,BALKRISIND.NS
NIFTY AUTO,BHARATFORG.NS
NIFTY AUTO,BOSCHLTD.NS
NIFTY AUTO,EICHERMOT.NS
NIFTY AUTO,EXIDEIND.NS
NIFTY AUTO,HEROMOTOCO.NS
NIFTY AUTO,MRF.NS
NIFTY AUTO,M&M.NS
NIFTY AUTO,MARUTI.NS
NIFTY AUTO,MOTHERSON.NS
NIFTY AUTO,TVSMOTOR.NS
NIFTY AUTO,TATAMOTORS.NS
NIFTY AUTO,TIINDIA.NS
NIFTY BANK,AUBANK.NS
NIFTY BANK,AXISBANK.NS
NIFTY BANK,BANKBARODA.NS
NIFTY BANK,CANBK.NS
NIFTY BANK,FEDERALBNK.NS
NIFTY BANK,HDFCBANK.NS
NIFTY BANK,ICICIBANK.NS
NIFTY BANK,IDFCFIRSTB.NS
NIFTY BANK,INDUSINDBK.NS
NIFTY BANK,KOTAKBANK.NS
NIFTY BANK,PNB.NS
NIFTY BANK,SBIN.NS
NIFTY FINANCIAL SERVICES,AXISBANK.NS
NIFTY FINANCIAL SERVICES,BAJFINANCE.NS
NIFTY FINANCIAL SERVICES,BAJAJFINSV.NS
NIFTY FINANCIAL SERVICES,CHOLAFIN.NS
